Date,Open Price,Close Price,High Price,Low Price,Volume,Rise,Diff of Close Price
21-Dec-15,2010.27,2021.15,2022.9,2005.93,2168002048,1,15.6
22-Dec-15,2023.15,2038.97,2042.74,2020.49,1997804416,1,17.82
23-Dec-15,2042.2,2064.29,2064.73,2042.2,2020649344,1,25.32
24-Dec-15,2063.52,2060.99,2067.36,2058.73,786126720,-1,-3.3
28-Dec-15,2057.77,2056.5,2057.77,2044.2,1348170624,-1,-4.49
29-Dec-15,2060.54,2078.36,2081.56,2060.54,1435984896,1,21.86
30-Dec-15,2077.34,2063.36,2077.34,2061.97,1260315392,-1,-15
31-Dec-15,2060.59,2043.94,2062.54,2043.62,1500443520,-1,-19.42
4-Jan-16,2038.2,2012.66,2038.2,1989.68,2805153024,-1,-31.28
5-Jan-16,2013.78,2016.71,2021.94,2004.17,2373999872,1,4.05
6-Jan-16,2011.71,1990.26,2011.71,1979.05,2821376768,-1,-26.45
7-Jan-16,1985.32,1943.09,1985.32,1938.83,3252530176,-1,-47.17
8-Jan-16,1945.97,1922.03,1960.4,1918.46,2921339648,-1,-21.06
11-Jan-16,1926.12,1923.67,1935.65,1901.1,3021223936,1,1.64
12-Jan-16,1927.83,1938.68,1947.38,1914.35,2943365888,1,15.01
13-Jan-16,1940.34,1890.28,1950.33,1886.41,3400786688,-1,-48.4
14-Jan-16,1891.68,1921.84,1934.47,1878.93,3424358912,1,31.56
15-Jan-16,1916.68,1880.33,1916.68,1857.83,3874221824,-1,-41.51
19-Jan-16,1888.66,1881.33,1901.44,1864.6,3207922944,1,1
20-Jan-16,1876.18,1859.33,1876.18,1812.29,4269820672,-1,-22
21-Jan-16,1861.46,1868.99,1889.85,1848.98,3344971776,1,9.66
22-Jan-16,1877.4,1906.9,1908.85,1877.4,3126277632,1,37.91
25-Jan-16,1906.28,1877.08,1906.28,1875.97,2786043392,-1,-29.82
26-Jan-16,1878.79,1903.63,1906.73,1878.79,2737291008,1,26.55
27-Jan-16,1902.52,1882.95,1916.99,1872.7,3075100672,-1,-20.68
28-Jan-16,1885.22,1893.36,1902.96,1873.65,3235470848,1,10.41
29-Jan-16,1894,1940.24,1940.24,1894,3669585664,1,46.88
1-Feb-16,1936.94,1939.38,1947.2,1920.3,2750498560,-1,-0.86
2-Feb-16,1935.26,1903.03,1935.26,1897.29,3008363264,-1,-36.35
3-Feb-16,1907.07,1912.53,1918.01,1872.23,3546672384,1,9.5
4-Feb-16,1911.67,1915.45,1927.35,1900.52,3385941248,1,2.92
5-Feb-16,1913.07,1880.05,1913.07,1872.65,3368324352,-1,-35.4
8-Feb-16,1873.25,1853.44,1873.25,1828.46,3818218240,-1,-26.61
9-Feb-16,1848.46,1852.21,1868.25,1834.94,3315977472,-1,-1.23
10-Feb-16,1857.1,1851.86,1881.6,1850.32,2864236288,-1,-0.35
11-Feb-16,1847,1829.08,1847,1810.1,3602652672,-1,-22.78
12-Feb-16,1833.4,1864.78,1864.78,1833.4,2887621376,1,35.7
16-Feb-16,1871.44,1895.58,1895.77,1871.44,2865938944,1,30.8
17-Feb-16,1898.8,1926.82,1930.68,1898.8,3065763072,1,31.24
18-Feb-16,1927.57,1926.82,1930,1915.09,2765861376,0,0
